Comment ID,Reply to Which Comment,User ID,Username,Nick Name,Comment,Comment Time,Digg Count,Author Digged,Reply Count,Pinned to Top,User Homepage
7523789892205183766,7523288271259616055,6879702512425862145,maikkelis95,Maikkel,..no.,"06/07/2025, 04:28:58",0,No,"","",https://www.tiktok.com/@maikkelis95
7523566471072465669,7523288271259616055,7289424306520736774,pixebio,The crimson king,"""and while we're at it, let's make it a category in the Nobel prize so that we can glaze ourselves for it""","05/07/2025, 14:00:37",3,No,"","",https://www.tiktok.com/@pixebio
7523685000606335766,7523288271259616055,6879702512425862145,maikkelis95,Maikkel,"""economics is used to justify suffering"" and biology is used to justify racism.","05/07/2025, 21:40:33",0,No,"","",https://www.tiktok.com/@maikkelis95
7523288271259616055,"",7442127535159133227,h0770ween,☠︎Ħ✪77✪Щ☠︎︎,“Guys we have to make a pseudoscience to justify starving millions”,"04/07/2025, 20:01:14",12992,No,98,No,https://www.tiktok.com/@h0770ween
7523332675110716174,"",6805692018246648838,dreasusername,Bandi🤑,“It uh…insists upon itself 😉” 😂,"04/07/2025, 22:53:43",0,No,0,No,https://www.tiktok.com/@dreasusername
7524225952701793038,7522812726768288526,7164928246042575915,alaskathunderslug5000,Alaska Thunderslug,“It’s literally the physics of the social sciences” Economics and economist’s have poor predictive power. Masking it with mathematics doesn’t make it rigorous. This is called ‘physics envy’,"07/07/2025, 08:40:43",1,No,"","",https://www.tiktok.com/@alaskathunderslug5000
7523288170185638670,7522784217857557278,7430256316863956014,robertodobalina,Robert Dobalina,"""Philosophers talk about truth, but the truth is they are more interested in their theories than in truth itself."" - Nassim Nicholas Taleb","04/07/2025, 20:01:01",0,No,"","",https://www.tiktok.com/@robertodobalina
7526932325255758647,7523288271259616055,6810093112515609605,nono191975789,user6743064383670,“Post scarcity” - someone who learned a new term and now really believes this without rationale thought. Fueled only by anger of the rich and blames capitalism,"14/07/2025, 15:42:08",0,No,"","",https://www.tiktok.com/@nono191975789
7523832157610492694,7523288271259616055,6808063059627344902,justscrolling419,🤨,“Predict economic systems”🤣🤣🤣 it actually tells you what policies to adopt to create the system it deems optimal. What system is optimal? The one with maximised profits… that’s not inherently political? Okay.,"06/07/2025, 07:12:08",0,No,"","",https://www.tiktok.com/@justscrolling419
7523298672055419668,7522812726768288526,6985708268086412293,arvintyen,atrmyne,“Stocks trading” 🥀,"04/07/2025, 20:41:24",0,No,"","",https://www.tiktok.com/@arvintyen
7530496357154833160,7522812726768288526,7137601171544540187,user783742643927,user783742643,@⋆ ˚｡⋆୨ 🖤 ୧⋆ ˚｡⋆,"24/07/2025, 06:12:06",0,No,"","",https://www.tiktok.com/@user783742643927
7523514668104434487,7522812726768288526,223571336319815680,treasuren.xo,treasure,@💋,"05/07/2025, 10:40:51",1,No,"","",https://www.tiktok.com/@treasuren.xo
7523286488459215618,"",7135703183674885126,tautok_,tautok,"@Annuzza☆ sissy wake up, capitalism does not exist","04/07/2025, 19:54:08",0,No,1,No,https://www.tiktok.com/@tautok_
7523608332612403975,7522812726768288526,7290875355899773957,niki5103,niki,@christine 😭😭,"05/07/2025, 16:42:57",1,No,"","",https://www.tiktok.com/@niki5103
7523517333651882783,7522812726768288526,6717708961716667398,janicez.z,janice🖤,@dhritim5,"05/07/2025, 10:51:22",0,No,"","",https://www.tiktok.com/@janicez.z
7524851588901847841,7522812726768288526,6969487347579159558,userrrr3456789p,Userrrr3456789,@Immamonkey,"09/07/2025, 01:07:43",1,No,"","",https://www.tiktok.com/@userrrr3456789p
7522869674734224142,7522812726768288526,6889108994460369925,jrewgo,j🇵🇸,"@j🇵🇸:yeah, you have no idea what you are talking about kid. just spouting words you think sound right lol. I get it, you've been personally attacked by supply side macro slop, I too hate that school of thought and right-wing economist. I too have many critiques of capitalism. but that doesn't mean all econ is bad. two things can be true at the same time, freshman econ classes and supply side economist are stupid AF — but, economic as a whole is an incredibly important discipline that helps us study the cause and affect of the social/monetary/political world. its literally the physics of social sciences. go read some heterodox economics and come back.","03/07/2025, 16:57:01",71,No,"","",https://www.tiktok.com/@jrewgo
7523974484278412063,7522812726768288526,105959722423328768,jeffbuckley666,Andrew Jones-Milczarski,@Jinx_is_alive,"06/07/2025, 16:24:13",1,No,"","",https://www.tiktok.com/@jeffbuckley666
7523331893460599583,"",7149551830959277102,trademarkedsuccess,trademarkedsuccess,@jorrel,"04/07/2025, 22:50:41",0,No,0,No,https://www.tiktok.com/@trademarkedsuccess
7523319730780144406,"",6703589499858256901,.ge0rge_._,george,@JR,"04/07/2025, 22:03:09",0,No,0,No,https://www.tiktok.com/@.ge0rge_._
7523986317110231838,7522812726768288526,6606826836553842694,elevatorcat,cali,@kaigen,"06/07/2025, 17:10:06",1,No,"","",https://www.tiktok.com/@elevatorcat
7523657247646810886,7522812726768288526,6827869403154531334,na_ttimah,Nattimah,@Kawa,"05/07/2025, 19:52:49",1,No,"","",https://www.tiktok.com/@na_ttimah
7523564799284986632,"",6943088884176536581,annabel_2473,Annabug,@kennical,"05/07/2025, 13:53:59",0,No,0,No,https://www.tiktok.com/@annabel_2473
7523185844770554646,7522812726768288526,6626828102272352261,gilgamesh_12399,Ahmed,@𝒦𝑜𝓃𝓈𝓉𝒶𝓃𝓈𝑒𝒜𝓂𝒶𝓁𝒾𝑒 facts,"04/07/2025, 13:23:36",1,No,"","",https://www.tiktok.com/@gilgamesh_12399
7523305715814859522,7522812726768288526,6989669366275392517,444prfl,Gabriela,@maneater,"04/07/2025, 21:08:44",0,No,"","",https://www.tiktok.com/@444prfl
7523290584078353154,7522812726768288526,6891026078900536325,taiii_chiii,Taiii_chiii,@mich sounds pretty accurate,"04/07/2025, 20:09:59",1,No,"","",https://www.tiktok.com/@taiii_chiii
7524358034363122446,7522812726768288526,9042905,mia.magnabosco,mia mag,@ness,"07/07/2025, 17:12:31",1,No,"","",https://www.tiktok.com/@mia.magnabosco
7525450230898524958,7522812726768288526,6797532529441506310,ana__t0,Ana Tee,@Rocky Benavidez,"10/07/2025, 15:51:08",0,No,"","",https://www.tiktok.com/@ana__t0
7523289179485143863,"",6807149320916501509,its.not_fai,Fai,@saiiizen vanderneit needs to heat rhis,"04/07/2025, 20:04:37",0,No,0,No,https://www.tiktok.com/@its.not_fai
7523362020168188694,"",59112329899937792,kaos.apelsine,Is-hal,@ur_mom,"05/07/2025, 00:47:19",0,No,0,No,https://www.tiktok.com/@kaos.apelsine
7523221552214803222,7522812726768288526,6739166824832861189,tooturnttoniii,toni__e,@Zoe 101,"04/07/2025, 15:42:14",0,No,"","",https://www.tiktok.com/@tooturnttoniii
7524070127214969613,7522896620578505485,6752327344214524934,bp42s,brans,❤️‍🩹,"06/07/2025, 22:35:15",1,No,"","",https://www.tiktok.com/@bp42s
7523629356926731039,7522812726768288526,6930801550727005189,sabz_adabz,sabz_adabz,💯 It’s also just a way for them to steal money,"05/07/2025, 18:05:13",0,No,"","",https://www.tiktok.com/@sabz_adabz
7523360380820833079,"",7148826939355907114,papawhoopsie,papawhoopsie,💯💯💯,"05/07/2025, 00:41:04",0,No,0,No,https://www.tiktok.com/@papawhoopsie
7523082817002554126,7522812726768288526,6834283028560135173,pop90popwhy77,pop90pop@,💯💯💯💯,"04/07/2025, 06:44:06",0,No,"","",https://www.tiktok.com/@pop90popwhy77
7523369641066906399,"",6878329717327119365,behike_kiskeya,Orchid Hill,💯💯💯💯,"05/07/2025, 01:16:57",0,No,0,No,https://www.tiktok.com/@behike_kiskeya
7523962672179348238,7522812726768288526,7426221645508477995,eljefeshinobi2,🥷,🗣️👏,"06/07/2025, 15:38:31",0,No,"","",https://www.tiktok.com/@eljefeshinobi2
7523457183364809478,7522784217857557278,7508758083012150277,peacelovejoyous,Justice4girls💜 ⁷,🤢💯💯💯,"05/07/2025, 06:56:41",0,No,"","",https://www.tiktok.com/@peacelovejoyous
